nombre,partido,PARTIDO_PARA_FILTRO,GENERO,CARGO_PARA_FILTRO,CARGO,INSTITUCION,CCAA,SUELDOBASE_SUELDO,COMPLEMENTOS_SUELDO,PAGASEXTRA_SUELDO,OTRASDIETASEINDEMNIZACIONES_SUELDO,TRIENIOS_SUELDO,RETRIBUCIONMENSUAL,salarioAnual,OBSERVACIONES
Miguel Ángel Noguero Mur,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Bielsa,Aragón,360,,,0,,25.71,360,Dedicación Parcial
Luis Sebastián Estaún García,PAR,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Biescas,Aragón,0,,,1675,,119.64,1675,Dedicación Parcial
Juan José Latre Ferris,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Binaced,Aragón,0,,,510,,36.43,510,Sin dedicación
Alfonso Adán Pozo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Binéfar,Aragón,0,,,14969.5,,1069.25,14969.5,Sin dedicación
Primitivo Grasa Cebollero,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Caldearenas,Aragón,4487.04,,,0,,320.5,4487.04,Dedicación Parcial
Fernando Sánchez Morales,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Canfranc,Aragón,9999.96,,,0,,714.28,9999.96,Dedicación Parcial
Tania Solans Raluy,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Esplús,Aragón,0,,,3627.96,,259.14,3627.96,Sin dedicación
Miguel Luis Pedro Manuel Lapeña Cregenzan,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de FRAGA,Aragón,40519.07,,,0,,2894.22,40519.07,Dedicación Exclusiva
José Ramón Laplana Buetas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de La Fueva,Aragón,0,,,450,,32.14,450,Sin dedicación
Carlos Sampériz Enguita,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Grañén,Aragón,20259.12,,,0,,1447.08,20259.12,Dedicación Exclusiva
José Antonio Lagüens Martín,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Graus,Aragón,0,,,10596,,756.86,10596,Sin dedicación
Carlos Til Bescos,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Gurrea de Gállego,Aragón,0,,,510,,36.43,510,Sin dedicación
Esperanza López Sanz,PAR,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Hoz de Jaca,Aragón,7892.36,,,0,,563.74,7892.36,Dedicación Parcial
Luis Eliseo Felipe Serrate,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de HUESCA,Aragón,34446.44,,,0,,2460.46,34446.44,Dedicación Exclusiva
Juan Manuel Ramón Ipas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Jaca,Aragón,35784,,,0,,2556,35784,Dedicación Exclusiva
Santiago Armando Sanjuán Franco,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Lalueza,Aragón,6473.33,,,0,,462.38,6473.33,Dedicación Parcial
Gerardo Castillo Barón,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Lanaja,Aragón,0,,,260,,18.57,260,Sin dedicación
José Luis Lloret Sin,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Lascuarre,Aragón,0,,,420,,30,420,Sin dedicación
Álvaro Burrell Bustos,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Monzón,Aragón,44999.92,,,0,,3214.28,44999.92,Dedicación Exclusiva
Guillermo Palacín Castro,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Nueno,Aragón,0,,,160,,11.43,160,Sin dedicación
Ricardo Laguna Belio,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Panticosa,Aragón,26942.02,,,0,,1924.43,26942.02,Dedicación Parcial
Juan Francisco Torralba Pérez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Las Peñas de Riglos,Aragón,0,,,5580,,398.57,5580,Sin dedicación
Ester Artieda Puyal,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Poleñino,Aragón,0,,,240.4,,17.17,240.4,Sin dedicación
Jesús Ángel Buetas Coronas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de El Pueyo de Araguás,Aragón,0,,,600,,42.86,600,Sin dedicación
María Berta Fernández Pueyo,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Sabiñánigo,Aragón,0,,,1700,,121.43,1700,Sin dedicación
Jesús Eugenio Gerico Urieta,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Sallent de Gállego,Aragón,28990.02,,,0,,2070.72,28990.02,Dedicación Exclusiva
Vicente Ciria Gella,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Sangarrén,Aragón,0,,,90,,6.43,90,Sin dedicación
Francisco Villelas Laín,PAR,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Sariñena,Aragón,30000,,,0,,2142.86,30000,Dedicación Exclusiva
José María Ariño Palacín,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Sopeira,Aragón,11959.78,,,250,,872.13,12209.78,Dedicación Parcial
Pedro Bergua Beltrán,PAR,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de La Sotonera,Aragón,5600,,,0,,400,5600,Dedicación Parcial
Francisco Mateo Rivas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Tamarite de Litera,Aragón,0,,,200,,14.29,200,Sin dedicación
Agustín Segura Ortega,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Tardienta,Aragón,18565.59,,,520,,1363.26,19085.59,Dedicación Parcial
José Evaristo Cabistañ Cuchi,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Torrente de Cinca,Aragón,0,,,2609.9,,186.42,2609.9,Sin dedicación
Luis Gutiérrez Larripa,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Valle de Hecho,Aragón,0,,,160,,11.43,160,Sin dedicación
Antonio Mir Llabres,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de ALCÚDIA,Baleares,0,,,18079.34,,1291.38,18079.34,Sin dedicación
María Antonia Mulet Vich,PSIB-PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Algaida,Baleares,37877.42,,,0,,2705.53,37877.42,Dedicación Exclusiva
Katia Rouarch,EL PI,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de ANDRATX,Baleares,42924.98,,,0,,3066.07,42924.98,Dedicación Exclusiva
Joan Ribot Mayol,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Ariany,Baleares,30000.04,,,0,,2142.86,30000.04,Dedicación Parcial
Mateo Ferra Bestard,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de BANYALBUFAR,Baleares,30000.03,,,0,,2142.86,30000.03,Dedicación Parcial
Andreu Bujosa Bestard,EOB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Bunyola,Baleares,35350,,,0,,2525,35350,Dedicación Exclusiva
Alfonso Luis Rodríguez Badal,PSIB-PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de CALVIÀ,Baleares,65497.32,,,0,,4678.38,65497.32,Dedicación Exclusiva
Magdalena Solivellas Mairata,MÉS-APIB,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Campanet,Baleares,37526.02,,,0,,2680.43,37526.02,Dedicación Exclusiva
Rafel Fernández Mallol,PSIB-PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Capdepera,Baleares,42399.98,,,0,,3028.57,42399.98,Dedicación Exclusiva
José Luis Camps Pons,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Es Castell,Baleares,28800,,,0,,2057.14,28800,Dedicación Parcial
Joana María Gomila Lluch,PSM MxM,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Ciutadella de Menorca,Baleares,33600,,,0,,2400,33600,Dedicación Exclusiva
Andreu Isern Pol,PSIB-PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Consell,Baleares,0,,,6600,,471.43,6600,Sin dedicación
Antoni Salas Roca,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Costitx,Baleares,37526.16,,,0,,2680.44,37526.16,Dedicación Exclusiva
Rafael Ruiz González,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de EIVISSA,Baleares,51117.64,,,0,,3651.26,51117.64,Dedicación Exclusiva
Antonio Solivellas Estrany,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Escorca,Baleares,30294.92,,,0,,2163.92,30294.92,Dedicación Parcial
Bartomeu Jover Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Estellencs,Baleares,30000,,,0,,2142.86,30000,Dedicación Parcial
Jaume Monserrat Vaquer,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Felanitx,Baleares,43294.16,,,0,,3092.44,43294.16,Dedicación Exclusiva
Josep Carreres Coll,L'ENTESA DE L'ESQUERRA DE FERRERIES,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Ferreries,Baleares,38559.78,,,0,,2754.27,38559.78,Dedicación Exclusiva
Antonio Aguilo Amengual,PP,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Fornalutx,Baleares,30000.04,,,0,,2142.86,30000.04,Dedicación Parcial
Virgilio Moreno Sarrió,PSIB-PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Inca,Baleares,36291.6,,,0,,2592.26,36291.6,Dedicación Exclusiva
Antoni Bennasar Pol,E.LL.,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Lloret de Vistalegre,Baleares,0,,,4200,,300,4200,Sin dedicación
José María Muñoz Pérez,PSIB-PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de LLOSETA,Baleares,0,,,14142.9,,1010.21,14142.9,Sin dedicación
Magdalena Perelló Frontera,MÉS-APIB,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de LLUCMAJOR,Baleares,48620.6,,,0,,3472.9,48620.6,Dedicación Exclusiva
Catalina Riera Mascaró,EL PI,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de MANACOR,Baleares,56062.27,,,0,,4004.45,56062.27,Dedicación Exclusiva
Guillem Villalonga Ramonell,MÉS-APIB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Mancor de la Vall,Baleares,37526.02,,,0,,2680.43,37526.02,Dedicación Exclusiva
Conxa Juanola Pons,ARA MAÓ,Unidos Podemos. confluencias y listas afines,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Maó-Mahón,Baleares,46187.12,,,0,,3299.08,46187.12,Dedicación Exclusiva
Guillem Jordà Bauza,MÉS-APIB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Maria de la Salut,Baleares,37901.22,,,0,,2707.23,37901.22,Dedicación Exclusiva
Francisco Javier Ametller Pons,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Es Mercadal,Baleares,0,,,18489,,1320.64,18489,Dedicación Parcial
Joan Verger Rosiñol,MÉS-APIB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Montuïri,Baleares,38933.92,,,0,,2780.99,38933.92,Dedicación Exclusiva
Antoni Noguera Ortega,MÉS-APIB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de PALMA DE MALLORCA,Baleares,58539.18,,,0,,4181.37,58539.18,Dedicación Exclusiva
Martí Sansaloni Oliver,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Petra,Baleares,0,,,3675,,262.5,3675,Sin dedicación
Biel Ferragut Mir,IXSP-EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Sa Pobla,Baleares,36996,,,0,,2642.57,36996,Dedicación Exclusiva
Miquel Àngel March Cerdà,JUNTS AVANÇAM (IND-PSOE-MÉS-ER),Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de POLLENÇA,Baleares,37488.68,,,0,,2677.76,37488.68,Dedicación Exclusiva
Xisca Mora Veny,EL PI,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Porreres,Baleares,41445.46,,,0,,2960.39,41445.46,Dedicación Exclusiva
Bernat Roig Galmes,ENDAVANT PSOE-MES-IND,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Ses Salines,Baleares,26754.18,,,0,,1911.01,26754.18,Dedicación Exclusiva
José Tur Torres,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Sant Antoni de Portmany,Baleares,0,,,25850,,1846.43,25850,Sin dedicación
Francesc Mestre Estelric,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Sant Joan,Baleares,32089.21,,,0,,2292.09,32089.21,Dedicación Parcial
Antonio Marí Marí,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Sant Joan de Labritja,Baleares,45904.56,,,0,,3278.9,45904.56,Dedicación Exclusiva
Josep Marí Ribas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de SANT JOSEP DE SA TALAIA,Baleares,51300.06,,,0,,3664.29,51300.06,Dedicación Exclusiva
Mateu Puigròs Sureda,GISCa,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Sant Llorenç des Cardassar,Baleares,42512.06,,,0,,3036.58,42512.06,Dedicación Parcial
María Montserrat Morlá Subirats,VOLEM SANT LLUIS,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Sant Lluís,Baleares,33668.94,,,0,,2404.92,33668.94,Dedicación Exclusiva
Francisco Martorell Canals,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de SANTA EUGÈNIA,Baleares,39999.96,,,0,,2857.14,39999.96,Dedicación Exclusiva
Vicente Alejandro Marí Torres,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Santa Eulària des Riu,Baleares,56105.56,,,0,,4007.54,56105.56,Dedicación Exclusiva
Nicolau Canyelles Parets,MÉS,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de SANTA MARÍA DEL CAMÍ,Baleares,38040,,,0,,2717.14,38040,Dedicación Exclusiva
Llorenç Sebastià Galmes Verger,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Santanyí,Baleares,49984.9,,,0,,3570.35,49984.9,Dedicación Exclusiva
Antoni Daniel Frontera Borrueco,ARRELAM-APIB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Selva,Baleares,37526.02,,,0,,2680.43,37526.02,Dedicación Exclusiva
Joan Carles Verd Cirer,EL PI,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de SENCELLES,Baleares,33393,,,0,,2385.21,33393,Dedicación Parcial
Jaume Servera Servera,MÉS-APIB,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Sóller,Baleares,0,,,14400,,1028.57,14400,Sin dedicación
Montserrat Rosselló Nicolau,PXP,Otros partidos,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Vilafranca de Bonany,Baleares,37502.36,,,0,,2678.74,37502.36,Dedicación Exclusiva
Alejandro Morales Moreno,N.ADS.,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Albanchez de Mágina,Andalucía,0,,,3600,,257.14,3600,Sin dedicación
Carlos Antonio Hinojosa Hidalgo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de ALCALÁ LA REAL,Andalucía,50333.08,,,0,,3595.22,50333.08,Dedicación Exclusiva
Valeriano Martín Cano,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Alcaudete,Andalucía,48585.6,,,0,,3470.4,48585.6,Dedicación Exclusiva
Francisco Manuel Huertas Delgado,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Andújar,Andalucía,44030.33,,,990,,3215.74,45020.33,Dedicación Exclusiva
Juan Latorre Ruiz,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Arjona,Andalucía,38124.94,,,0,,2723.21,38124.94,Dedicación Exclusiva
Miguel Ángel Carmona Carmona,PARTIDO ANDALUCISTA,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Arjonilla,Andalucía,0,,,1320,,94.29,1320,Sin dedicación
Miguel Ángel Manrique Peinado,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Arquillos,Andalucía,32967.39,,,0,,2354.81,32967.39,Dedicación Exclusiva
María Luisa Gómez Bautista,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Arroyo del Ojanco,Andalucía,33999.98,,,0,,2428.57,33999.98,Dedicación Exclusiva
María Dolores Marín Torres,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Baeza,Andalucía,42999.88,,,0,,3071.42,42999.88,Dedicación Exclusiva
Luis Mariano Camacho Núñez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Bailén,Andalucía,33999.98,,,0,,2428.57,33999.98,Dedicación Exclusiva
Antonio Las Heras Cortés,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Baños de la Encina,Andalucía,30000,,,0,,2142.86,30000,Dedicación Exclusiva
Sebastián Molina Herrera,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Beas de Segura,Andalucía,32319.58,,,0,,2308.54,32319.58,Dedicación Exclusiva
Juan Francisco Serrano Martínez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Bedmar y Garcíez,Andalucía,38131.36,,,0,,2723.67,38131.36,Dedicación Exclusiva
Damián Martínez Resola,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Begíjar,Andalucía,30592.66,,,0,,2185.19,30592.66,Dedicación Exclusiva
Pedro Justicia Herrera,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Bélmez de la Moraleda,Andalucía,35700,,,0,,2550,35700,Dedicación Exclusiva
María Francisca Espinosa García,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Benatae,Andalucía,25690.04,,,0,,1835,25690.04,Dedicación Parcial
José Rubio Santoyo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cabra del Santo Cristo,Andalucía,39119.59,,,0,,2794.26,39119.59,Dedicación Exclusiva
Miguel Ángel García Martos,IULV-CA,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Cambil,Andalucía,28999.92,,,0,,2071.42,28999.92,Dedicación Exclusiva
Juan Francisco Figueroa Ruiz,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Campillo de Arenas,Andalucía,0,,,80,,5.71,80,Dedicación Parcial
José Carlos Serrano Ruiz,IULV-CA,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Canena,Andalucía,24918.88,,,0,,1779.92,24918.88,Dedicación Exclusiva
Domingo Bonillo Avi,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Carboneros,Andalucía,29999.9,,,0,,2142.85,29999.9,Dedicación Parcial
Enrique Puñal Rueda,N.ADS.,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Cárcheles,Andalucía,31942.4,,,0,,2281.6,31942.4,Dedicación Exclusiva
Yolanda Reche Luz,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de La Carolina,Andalucía,34450,,,0,,2460.71,34450,Dedicación Exclusiva
Cristóbal Rodríguez Gallardo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Castillo de Locubín,Andalucía,37040.24,,,0,,2645.73,37040.24,Dedicación Parcial
Manuel Jesús Raya Clemente,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cazalilla,Andalucía,30000,,,0,,2142.86,30000,Dedicación Parcial
Antonio José Rodríguez Viñas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Cazorla,Andalucía,39511.22,,,0,,2822.23,39511.22,Dedicación Exclusiva
Santiago Rodríguez Yeste,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Chiclana de Segura,Andalucía,28200.51,,,0,,2014.32,28200.51,Dedicación Exclusiva
José Luis Agea Martínez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Chilluévar,Andalucía,27926.5,,,0,,1994.75,27926.5,Dedicación Parcial
Manuela Cobo Anguita,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Espelúy,Andalucía,27337.8,,,0,,1952.7,27337.8,Dedicación Exclusiva
José Manuel Garrido Romero,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Frailes,Andalucía,21105,,,2250.31,,1668.24,23355.31,Dedicación Exclusiva
María Francisca Molina Zamora,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Fuensanta de Martos,Andalucía,34326.18,,,0,,2451.87,34326.18,Dedicación Exclusiva
Manuel Melguizo Arroyo,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Fuerte del Rey,Andalucía,26400,,,0,,1885.71,26400,Dedicación Exclusiva
Jaime Aguilera Samblas,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Génave,Andalucía,26443.22,,,0,,1888.8,26443.22,Dedicación Parcial
Alberto Rubio Mostacero,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Guarromán,Andalucía,35000,,,0,,2500,35000,Dedicación Parcial
Juan de Dios Ortega López,Partido Andalucista,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Higuera de Calatrava,Andalucía,14910,,,0,,1065,14910,Dedicación Parcial
Marón Martínez Sevilla,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Hinojares,Andalucía,17484.04,,,0,,1248.86,17484.04,Dedicación Exclusiva
Francisco Manuel Ruiz García,IULV-CA,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Huelma,Andalucía,36352.2,,,0,,2596.59,36352.2,Dedicación Exclusiva
Ángel Padilla Romero,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Huesa,Andalucía,28628.01,,,0,,2044.86,28628.01,Dedicación Exclusiva
José Antonio Olivares Sánchez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de La Iruela,Andalucía,28758.94,,,0,,2054.21,28758.94,Dedicación Exclusiva
Antonia de la Paz Manjón,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Iznatoraf,Andalucía,14167.8,,,0,,1011.99,14167.8,Dedicación Parcial
Pedro López Lérida,UDJ,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Jabalquinto,Andalucía,30800,,,0,,2200,30800,Dedicación Exclusiva
Francisco Javier Márquez Sánchez,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de JAÉN,Andalucía,70466.06,,,0,,5033.29,70466.06,Dedicación Exclusiva
Crispín Colmenero Martos,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Jamilena,Andalucía,37131.64,,,0,,2652.26,37131.64,Dedicación Exclusiva
Esther Ulloa Navarrete,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Jimena,Andalucía,25104.21,,,0,,1793.16,25104.21,Dedicación Exclusiva
José Luis Hidalgo García,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Jódar,Andalucía,35597.9,,,0,,2542.71,35597.9,Dedicación Exclusiva
Florencio José Moales Lara,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Lahiguera,Andalucía,11400,,,0,,814.29,11400,Dedicación Parcial
María de los Ángeles Leiva López,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Larva,Andalucía,14422.8,,,0,,1030.2,14422.8,Dedicación Parcial
Juan Fernández Gutiérrez,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de LINARES,Andalucía,54141.22,,,0,,3867.23,54141.22,Dedicación Exclusiva
Isabel Uceda Cantero,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Lopera,Andalucía,22000.02,,,0,,1571.43,22000.02,Dedicación Exclusiva
Gonzalo Manuel Rus Pérez,IULV-CA,Unidos Podemos. confluencias y listas afines,Hombre,Alcalde,Alcalde,Ayuntamiento de Lupión,Andalucía,24516.38,,,0,,1751.17,24516.38,Dedicación Parcial
María del Mar Dávila Jiménez,Partido Popular,Partido Popular,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Mancha Real,Andalucía,46200,,,0,,3300,46200,Dedicación Exclusiva
Manuel Lozano Garrido,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Marmolejo,Andalucía,37800,,,0,,2700,37800,Dedicación Exclusiva
Víctor Manuel Torres Caballero,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de MARTOS,Andalucía,45700.48,,,0,,3264.32,45700.48,Dedicación Exclusiva
Juan Bravo Sosa,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Mengíbar,Andalucía,39932.48,,,0,,2852.32,39932.48,Dedicación Exclusiva
Valentín Merenciano García,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Montizón,Andalucía,18340,,,0,,1310,18340,Dedicación Parcial
Joaquín Requena Requena,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Navas de San Juan,Andalucía,40400.64,,,0,,2885.76,40400.64,Dedicación Exclusiva
Antonio Morales Torres,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Noalejo,Andalucía,23053.78,,,0,,1646.7,23053.78,Dedicación Exclusiva
Juan Francisco Fernández López,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Orcera,Andalucía,26451.88,,,0,,1889.42,26451.88,Dedicación Exclusiva
Ana Dolores Rubia Soria,PSOE,PSOE,Mujer,Alcalde,Alcaldesa,Ayuntamiento de Peal de Becerro,Andalucía,35397.74,,,0,,2528.41,35397.74,Dedicación Exclusiva
Juan Merino Torres,Partido Popular,Partido Popular,Hombre,Alcalde,Alcalde,Ayuntamiento de Pegalajar,Andalucía,25635.34,,,0,,1831.1,25635.34,Dedicación Exclusiva
Miguel Antonio Moreno Lorente,N.ADS.,Otros partidos,Hombre,Alcalde,Alcalde,Ayuntamiento de Porcuna,Andalucía,35000,,,0,,2500,35000,Dedicación Exclusiva
Iván Raúl Cruz Lozano,PSOE,PSOE,Hombre,Alcalde,Alcalde,Ayuntamiento de Pozo Alcón,Andalucía,33516.83,,,0,,2394.06,33516.83,Dedicación Exclusiva
